,filename,sgpa,cgpa
0,15619_1800265830.html,,
1,15619_1800265944.html,,
2,15726_1800265830.html,,
3,15726_1800265944.html,,
4,15760_1800265829.html,,
5,15760_1800265830.html,,
6,15760_1800265943.html,,
7,15760_1800265944.html,,
8,15770_1800265829.html,,
9,15770_1800265830.html,,
10,15770_1800265944.html,,
11,15779_1800265829.html,,
12,15779_1800265830.html,,
13,15779_1800265944.html,,
14,15783_1800265829.html,,
15,15783_1800265830.html,,
16,15783_1800265944.html,,
17,15787_1800265829.html,,
18,15787_1800265830.html,,
19,15787_1800265944.html,,
20,15802_1800265829.html,,
21,15802_1800265830.html,,
22,15802_1800265943.html,,
23,15802_1800265944.html,,
24,1613613511_1800265903.html,6.44,7.41
25,1902051035_1800265219.html,7.23,7.23
26,1902051035_1800265275.html,6.19,6.71
27,1902051035_1800265532.html,7.6,7.21
28,1902051035_1800265551.html,6.81,7.02
29,1902051035_1800265775.html,5.93,6.88
30,1902051035_1800265905.html,7.2,7.06
31,20010101001_1800265267.html,2.79,4.92
32,20010101001_1800265331.html,3.08,5.61
33,20010101001_1800265469.html,2.13,4.81
34,20010101001_1800265499.html,4.69,6.18
35,20010101001_1800265500.html,3.29,5.47
36,20010101001_1800265788.html,4.69,6.18
37,20010101001_1800265789.html,3.29,5.47
38,20010101001_1800265790.html,3.88,5.16
39,20010101001_1800265814.html,3.22,4.81
40,20010101001_1800265930.html,6.12,6.68
41,20010101001_1800265931.html,3.96,6.01
42,20010101001_1800265932.html,4.38,5.69
43,20010101001_1800265933.html,4.67,5.5
44,20010101001_1800265934.html,5.04,5.44
45,20010101002_1800265267.html,3.71,6.23
46,20010101002_1800265469.html,4.67,6.48
47,20010101002_1800265499.html,6.54,7.27
48,20010101002_1800265500.html,5.88,6.93
49,20010101002_1800265814.html,4.19,6.07
50,20010101002_1800265932.html,5.17,6.58
51,20010101002_1800265933.html,5.74,6.43
52,20010101002_1800265934.html,4.52,6.17
53,20010101003_1800265267.html,8.13,8.77
54,20010101003_1800265469.html,8.17,8.65
55,20010101003_1800265814.html,8.41,8.6
56,20010101003_1800265934.html,8.91,8.65
57,20010101004_1800265267.html,7.67,8.57
58,20010101004_1800265469.html,7.33,8.33
59,20010101004_1800265814.html,7.93,8.26
60,20010101004_1800265934.html,8.57,8.3
61,20010101005_1800265267.html,4.92,6.67
62,20010101005_1800265331.html,6.62,7.24
63,20010101005_1800265469.html,6.0,6.84
64,20010101005_1800265814.html,5.22,6.54
65,20010101005_1800265933.html,5.22,6.54
66,20010101005_1800265934.html,7.17,6.63
67,20010101007_1800265267.html,5.67,7.3
68,20010101007_1800265331.html,7.04,7.82
69,20010101007_1800265469.html,6.42,7.27
70,20010101007_1800265814.html,6.81,7.19
71,20010101007_1800265934.html,7.57,7.24
72,20010101008_1800265267.html,8.13,8.64
73,20010101008_1800265469.html,8.13,8.54
74,20010101008_1800265814.html,8.44,8.52
75,20010101008_1800265934.html,8.22,8.48
76,20010101009_1800265267.html,5.54,6.88
77,20010101009_1800265331.html,7.12,7.31
78,20010101009_1800265469.html,4.29,6.52
79,20010101009_1800265790.html,5.96,6.84
80,20010101009_1800265814.html,5.96,6.68
81,20010101009_1800265934.html,5.13,6.48
82,20010101010_1800265267.html,8.0,8.65
83,20010101010_1800265469.html,8.04,8.53
84,20010101010_1800265814.html,8.67,8.56
85,20010101010_1800265934.html,8.65,8.57
86,20010101011_1800265267.html,6.75,7.78
87,20010101011_1800265469.html,6.96,7.67
88,20010101011_1800265814.html,7.63,7.66
89,20010101011_1800265934.html,7.96,7.7
90,20010101012_1800265267.html,7.0,7.93
91,20010101012_1800265331.html,8.08,8.23
92,20010101012_1800265469.html,7.33,7.81
93,20010101012_1800265814.html,7.59,7.77
94,20010101012_1800265934.html,7.87,7.78
95,20010101013_1800265267.html,5.5,6.81
96,20010101013_1800265469.html,4.67,6.39
97,20010101013_1800265790.html,5.83,6.61
98,20010101013_1800265814.html,6.37,6.57
99,20010101013_1800265934.html,5.74,6.46
100,20010101014_1800265267.html,5.71,7.04
101,20010101014_1800265331.html,7.31,7.47
102,20010101014_1800265469.html,6.04,7.04
103,20010101014_1800265500.html,6.71,7.29
104,20010101014_1800265814.html,6.74,6.99
105,20010101014_1800265934.html,6.26,6.89
106,20010101015_1800265267.html,6.79,7.64
107,20010101015_1800265469.html,7.46,7.61
108,20010101015_1800265814.html,7.44,7.58
109,20010101015_1800265934.html,6.57,7.44
110,20010101016_1800265267.html,7.33,8.02
111,20010101016_1800265469.html,7.58,7.88
